ID	year	source	details
r120407	1977	Palaeobotanist	24: 175, pl. 4: figs. 40-42
r120408	1974	Special Publ. Birbal Sahni Inst. Palaeobot.	3: 63, pl. 7: figs. 2, 3
r132567	1971	Bull. Res. Council Alberta	28{2}: 316, pl. 48: figs. 8, 9; text-fig. 53
r158826	1951	Hydrobiologia	3: 119, figs. A, B, 1-10
r123462	1951	Biol. Meddel. Kongel. Danske Vidensk. Selsk.	18{16}: 18, pl. 1, text-figs. 6, 7
r129869	1951	Biol. Meddel. Kongel. Danske Vidensk. Selsk.	18{16}: 22-26, figs. 9, 10, pl. II
r129870	1876	Sp. Alg.	3{1}: 514, no fig.
r123461	1847	Bot. Zeitung (Berlin)	5: 54
r124090	1904	Math. u. Naturwiss. Ber. Ungarn	19: 115, figs. A-C
r131979	1809	J. Bot. [Desvaux]	2: 308
r120411	1989	Arch. Hydrobiol. Suppl.	82 (Algol. Stud. 56): 303
r139083	2012	Fottea	12: 144
r120444	1991	Crypt. Bot.	2: 253
r120445	1965	J. Phycol.	1: 38, figs. 1-28
r129871	1962	Brittonia	14: 61
r120446	1990	Crypt. Bot.	1: 297, figs. 5-9
r120447	1996	Univ. Calif. Publ. Bot.	79: 812
r129874	1977	Phycologia	16: 407
r120449	1962	Brittonia	14: 63, figs. 1-14
r149852	2015	Eur. J. Phycol.	50: 444, figs. 4-35
r120451	1990	Phycologia	29: 164
r138510	2013	Phycologia	52: 344, figs. 18-26
r138511	2013	Phycologia	52: 346, figs. 27-32
r120454	1990	Phycologia	29: 168
r139889	2013	J. Phycol.	49: 1221
r139885	2013	J. Phycol.	49: 1220
r143035	2012	Iconogr. Diatomol.	23: 268, pl. 155: figs. 1-5; pl. 156: figs. 1, 2
r143036	2012	Iconogr. Diatomol.	23: 269
r120457	1890	Alg. Syst.	6: 116
r120458	1988	Nordic J. Bot.	8: 425, figs. 23-29
r150297	2012	Nov. Sist. Nizsh. Rast. [Bot. Inst. Akad. Nauk SSSR]	46: 38, pl. I: fig. 3; pl. III: figs. 3-6; pl. IV: figs. 1-4
r120459	1989	Atlas Diat.	6: 12, pl. 802: fig. 4
r120460	1989	Atlas Diat.	6: 12
r120462	1907	Contr. U.S. Natl. Herb.	10: 292
r156648	2015	Micropaleontology	61: 186, figs. 1-12
r120463	1989	Atlas Diat.	6: 12, pl. 802: figs. 5, 6
r120464	2001	Occas. Pap. Calif. Acad. Sci.	152: 20
r120470	1994	Phykos	33: 119, figs. 11-26
r145406	2015	Phytotaxa	209: 34
r145443	2015	Phytotaxa	209: 31
r145447	2015	Phytotaxa	209: 33
r120472	1987	Bull. Inst. Geol., Chin. Acad. Geol. Sci.	14: 157, fig. 5, pl. 1: fig. 15
r154013	1988	Mem. Geol. Soc. Amer.	169: 89
r120473	1948	Bot. Zhurn.	33: 350, 351, 355
r120474	1949	Bot. Mater., Spor. Rast., Bot. Inst. Akad. Nauk SSSR	6: 66, fig. 1
r120475	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 291, pl. 6: figs. 37-43; pl. 13: fig. 89
r120476	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 292, pl. 7: figs. 44-48; pl. 13: fig. 90
r120477	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 285
r120478	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 297
r120479	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 279
r120480	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 280, pl. 1: fig. 9; pl. 12: fig. 79
r120481	1885	Zap. Imp. S.-Peterburgsk. Mineral. Obshch., ser. 2,	22: 171, pl. X: figs. 5, 8
r120482	1927	Occas. Pap. Calif. Acad. Sci.	13: 36, pl. 5: figs. 3-5
r120483	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 282, pl. 2: figs. 10-15; pl. 12: fig. 80
r120485	1863	Conspect. Diat. Dan.:	51, pl. IV: fig. IX
r120484	1983	Initial Rep. Deep Sea Drilling Project	71: 572, pl. 4: figs. 5-10
r120486	1988	Bull. Brit. Mus. (Nat. Hist.), Bot.	18: 290, pl. 5: figs. 31-36; pl. 12: figs. 87, 88
r120487	1951	Bot. Mater., Spor. Rast., Bot. Inst. Akad. Nauk SSSR	7: 50, pl. II: fig. 5
