nameID	relatedNameID	type
124673	124673-alt	spelling correction
124675	124675-alt	spelling correction
124676	124677	basionym
149189	104988	basionym
124677	124677-alt	spelling correction
124678	124678-alt	spelling correction
124679	124679-alt	spelling correction
124680	124680-alt	spelling correction
100977	124674	basionym
100978	507085	basionym
100979	158264	basionym
100982	100016	basionym
124681	114413	basionym
132151	132124	basionym
124682	120520	basionym
136569	136700	basionym
124683	101154	basionym
136570	136766	basionym
124684	129962	basionym
136571	136705	basionym
136572	136824	basionym
136572	136572-alt	spelling correction
151571	130444	basionym
100986	102647	basionym
124686	128296	basionym
124689	105131	basionym
124689	124689-alt	spelling correction
100994	129982	basionym
155946	114144	basionym
155945	131207	basionym
155947	114159	basionym
155948	114170	basionym
155949	145836	basionym
155950	114173	basionym
155951	114181	basionym
155952	145838	basionym
155953	114189	basionym
155944	114203	basionym
155954	145844	basionym
100997	103570	basionym
139132	139759	basionym
124690	109782	basionym
138669	101162	basionym
138671	138672	basionym
138664	101163	basionym
138673	101170	basionym
138666	112178	basionym
138674	101172	basionym
138668	101173	basionym
124691	128566	basionym
124691	124691-alt	spelling correction
155080	154971	basionym
154972	154970	basionym
101006	106278	basionym
101008	112817	basionym
137909	599163	basionym
142692	142693	basionym
137912	137913	basionym
154698	140531	basionym
142700	142701	basionym
142700	142700-alt	spelling correction
143061	143062	basionym
154697	154697-alt	spelling correction
137914	137915	basionym
156369	156370	basionym
156369	156369-alt	spelling correction
137917	113167	basionym
101011	113169	basionym
101013	113162	basionym
101015	113166	basionym
101015	101015-alt	spelling correction
131936	131936-alt	spelling correction
101016	113167	basionym
101012	113161	basionym
101012	101012-alt	spelling correction
101017	113170	basionym
124692	127868	basionym
124693	124693-alt	spelling correction
101706	101707	basionym
101708	111610	basionym
158416	158417	basionym
158414	158415	basionym
101019	118392	basionym
101020	118393	basionym
101021	118394	basionym
101022	118396	basionym
123481	123482	basionym
141667	141667-alt	spelling correction
152780	152781	basionym
152782	137751	basionym
152782	152782-alt	spelling correction
152776	152777	basionym
101031	101031-alt	spelling correction
137578	137579	basionym
101038	101040	basionym
101039	101040	basionym
101041	101041-alt	spelling correction
101044	101044-alt	spelling correction
124695	125982	basionym
133366	154499	basionym
133367	126010	basionym
133368	154508	basionym
101599	105364	basionym
101047	112585	basionym
152637	152638	basionym
152637	152637-alt	spelling correction
153282	153256	basionym
153363	153362	basionym
148925	148919	basionym
101535	101535-alt	spelling correction
101060	101060-alt	spelling correction
148882	148883	basionym
131937	112640	basionym
101063	101063-alt	spelling correction
148884	148885	basionym
148886	148885	basionym
101064	101050	basionym
101067	101067-alt	spelling correction
124696	127259	basionym
124697	126137	basionym
124698	125043	basionym
101069	109415	basionym
124699	127277	basionym
101071	109415	basionym
101070	109415	basionym
101073	102612	basionym
101072	102612	basionym
157152	109467	basionym
124700	126808	basionym
151966	151965	basionym
101078	109949	basionym
101078	101078-alt	spelling correction
124701	102546	basionym
101082	101082-alt	spelling correction
124703	125014	basionym
124704	125015	basionym
130479	130479-alt	spelling correction
101086	101086-alt	spelling correction
124705	124705-alt	spelling correction
124706	124706-alt	spelling correction
101088	102562	basionym
124707	125025	basionym
146736	102617	basionym
124708	125026	basionym
101090	102565	basionym
124711	125031	basionym
124714	126007	basionym
158849	102573	basionym
124715	125035	basionym
124716	125037	basionym
124717	125039	basionym
101093	102582	basionym
124719	125042	basionym
124720	102618	basionym
124721	125046	basionym
124722	102592	basionym
123971	123972	basionym
124724	104146	basionym
124725	102619	basionym
101106	102617	basionym
101116	101116-alt	spelling correction
124433	125063	basionym
124730	125064	basionym
101118	102563	basionym
101120	102546	basionym
101120	101120-alt	spelling correction
101121	101084	basionym
101123	101124	basionym
101123	101123-alt	spelling correction
124731	124705	basionym
124732	124712	basionym
101126	101114	basionym
124733	124713	basionym
124734	126007	basionym
151213	151214	basionym
101127	102576	basionym
124735	101096	basionym
101131	101099	basionym
139134	102573	basionym
151215	130487	basionym
101134	101109	basionym
133370	133369	basionym
139135	101111	basionym
101135	101114	basionym
124737	125064	basionym
124738	129032	basionym
149259	149260	basionym
149261	149262	basionym
130256	130257	basionym
130256	130256-alt	spelling correction
149263	149264	basionym
143753	143754	basionym
148969	131401	basionym
132221	132207	basionym
136573	120404	basionym
121462	121462-alt	spelling correction
131320	131334	basionym
101147	101149	basionym
155052	155053	basionym
101150	103737	basionym
101151	115740	basionym
143549	143550	basionym
147213	147214	basionym
155054	101153	basionym
101155	101155-alt	spelling correction
147215	147216	basionym
147217	136705	basionym
147218	147219	basionym
147220	147221	basionym
147222	124685	basionym
136574	136767	basionym
143551	143552	basionym
101160	101160-alt	spelling correction
143595	143596	basionym
143593	143594	basionym
145124	145123	basionym
124742	128554	basionym
147661	147662	basionym
147223	130468	basionym
147663	147664	basionym
101166	101170	basionym
101167	112171	basionym
146326	146327	basionym
138695	130493	basionym
147224	147225	basionym
136575	136766	basionym
101169	112178	basionym
155468	155467	basionym
124743	128556	basionym
101171	101171-alt	spelling correction
124745	125880	basionym
101176	104810	basionym
105487	105487-alt	spelling correction
105488	105488-alt	spelling correction
130178	100757	basionym
124746	125828	basionym
151690	151691	basionym
151692	151693	basionym
151694	114697	basionym
151695	151696	basionym
131487	131487-alt	spelling correction
124748	127671	basionym
124749	126859	basionym
124750	105781	basionym
155631	155632	basionym
157588	586039	basionym
157589	586040	basionym
157590	522129	basionym
157591	586042	basionym
157592	111039	basionym
157593	522141	basionym
157594	522385	basionym
157594	157594-alt	spelling correction
157595	522146	basionym
157596	522149	basionym
157597	557661	basionym
157598	522163	basionym
157599	522166	basionym
124751	102926	basionym
157600	522172	basionym
101183	102979	basionym
157601	150609	basionym
157602	522188	basionym
157603	586052	basionym
157604	125417	basionym
157604	157604-alt	spelling correction
139732	139159	basionym
157605	630152	basionym
157606	146162	basionym
157607	522220	basionym
157608	111040	basionym
157609	579925	basionym
157610	127526	basionym
101184	104104	basionym
157611	150616	basionym
157611	157611-alt	spelling correction
124752	125428	basionym
139733	139161	basionym
157612	514934	basionym
157613	127527	basionym
157615	522315	basionym
157616	522319	basionym
157617	522320	basionym
157618	586061	basionym
157619	522327	basionym
157621	157621-alt	spelling correction
101185	104118	basionym
157623	522413	basionym
157624	150610	basionym
157625	522425	basionym
157626	522426	basionym
101186	104122	basionym
157627	522449	basionym
157628	522452	basionym
157629	586065	basionym
157630	147327	basionym
157631	522484	basionym
157632	630153	basionym
157633	522499	basionym
157634	154503	basionym
157635	150607	basionym
157636	586080	basionym
157637	559693	basionym
157638	522540	basionym
157639	522541	basionym
157640	559696	basionym
157641	150604	basionym
157642	522561	basionym
157644	150624	basionym
157645	522573	basionym
157646	150623	basionym
157647	522590	basionym
157648	125452	basionym
124753	125453	basionym
157649	586090	basionym
157650	143980	basionym
157651	522607	basionym
